Date,Clicks,Impressions,CTR,Position
2026-03-06,0,3,0%,89.3
2026-03-07,0,3,0%,95
2026-03-08,1,7,14.29%,38.1
2026-03-09,0,7,0%,64
2026-03-10,0,1,0%,95
2026-03-11,1,6,16.67%,55.2
2026-03-12,0,3,0%,77
2026-03-13,0,0,,
2026-03-14,0,4,0%,98
2026-03-15,0,2,0%,42.5
2026-03-16,1,10,10%,49.2
2026-03-17,0,4,0%,83
2026-03-18,1,11,9.09%,70
2026-03-19,1,7,14.29%,29.1
2026-03-20,0,7,0%,44.1
2026-03-21,0,5,0%,48.8
2026-03-22,1,8,12.5%,26.6
2026-03-23,0,6,0%,22.2
2026-03-24,0,7,0%,4.6
