Country,Clicks,Impressions,CTR,Position
Spain,4,81,4.94%,56.33
Andorra,2,3,66.67%,1.33
Japan,0,3,0%,55.67
United States,0,2,0%,2
Canada,0,2,0%,7.5
India,0,2,0%,47
Ukraine,0,1,0%,1
Brazil,0,1,0%,3
Mexico,0,1,0%,8
China,0,1,0%,9
Mayotte,0,1,0%,27
Ireland,0,1,0%,72
Austria,0,1,0%,76
Italy,0,1,0%,88
